Designator,Mid X,Mid Y,Rotation,Layer
D1,142.875,-57.15,90.0,bottom
D2,161.925,-57.15,90.0,bottom
D3,180.975,-57.15,90.0,bottom
D4,142.875,-76.2975,90.0,bottom
D5,161.925,-76.2975,90.0,bottom
D6,180.975,-76.2975,90.0,bottom
D7,142.875,-95.25,90.0,bottom
D8,161.925,-95.25,90.0,bottom
D9,180.975,-95.25,90.0,bottom
S1,133.35,-54.985,0.0,top
S2,152.4,-54.985,0.0,top
S3,171.45,-54.985,0.0,top
S4,133.35,-74.035,0.0,top
S5,152.4,-74.035,0.0,top
S6,171.45,-74.035,0.0,top
S7,133.35,-93.085,0.0,top
S8,152.4,-93.085,0.0,top
S9,171.45,-93.085,0.0,top
U1,141.605,-37.465,0.0,top
